# Nafis - Task 4: Age and Physical Workload (FIFA World Cup 2026, HIT140 group project)
# Source: Sofascore (api.sofascore.com), FIFA World Cup 2026 tournament id 16 / season id 58210. Population = all outfield players (excludes goalkeepers) with >=180 total minutes played across the tournament AND at least one match with tracked physical data (n=482; 2 players with >=180 min were dropped for missing date-of-birth data in the source: Lionel Messi, Kevin Pina). distance_km_per90 = total km covered across tracked matches / (total minutes played / 90). Age computed as of tournament start (2026-06-11).
player,team,position,age,minutes_played,distance_km_per90,age_group
Elijah Just,New Zealand,M,26,265,10.854,25 and older
Saeid Ezatolahi,Iran,M,29,265,10.542,25 and older
Mohannad Abu Taha,Jordan,M,23,265,10.145,Under 25
Hwang In-beom,South Korea,M,29,264,10.742,25 and older
Deroy Duarte,Cabo Verde,M,26,264,10.105,25 and older
Nestory Irankunda,Australia,F,20,264,8.840,Under 25
Riyad Mahrez,Algeria,M,35,263,10.331,25 and older
Antonio Rüdiger,Germany,D,33,262,7.506,25 and older
John McGinn,Scotland,M,31,261,9.410,25 and older
Jean-Ricner Bellegarde,Haiti,M,27,261,10.821,25 and older
Ehsan Haddad,Jordan,M,32,261,9.669,25 and older
Abdallah Nasib,Jordan,D,32,261,8.524,25 and older
Tarik Muharemović,Bosnia & Herzegovina,D,23,260,9.478,Under 25
Danley Jean Jacques,Haiti,M,26,260,11.198,25 and older
Tani Oluwaseyi,Canada,F,26,260,9.606,25 and older
Mehdi Taremi,Iran,F,33,260,10.232,25 and older
Thalente Mbatha,South Africa,M,26,259,10.713,25 and older
Noah Sadiki,DR Congo,M,21,258,11.191,Under 25
Rustam Ashurmatov,Uzbekistan,D,29,257,9.277,25 and older
Nizar Al-Rashdan,Jordan,M,27,256,10.789,25 and older
Oswin Appollis,South Africa,M,24,255,10.440,Under 25
Juninho Bacuna,Curaçao,M,28,255,10.052,25 and older
Theo Hernández,France,D,28,255,10.225,25 and older
Alan Franco,Ecuador,M,27,254,9.340,25 and older
Djibril Sow,Switzerland,M,29,254,7.055,25 and older
Crysencio Summerville,Netherlands,M,24,253,9.619,Under 25
Nicolás González,Argentina,M,28,253,8.964,25 and older
Amine Gouiri,Algeria,F,26,253,9.583,25 and older
Maximiliano Araújo,Uruguay,D,26,252,9.811,25 and older
Yan Valery,Tunisia,D,27,252,9.611,25 and older
Andreas Schjelderup,Norway,M,22,251,10.671,Under 25
Young-woo Seol,South Korea,D,27,251,10.384,25 and older
Ellyes Skhiri,Tunisia,M,31,251,9.567,25 and older
Yoel Bárcenas,Panama,M,32,250,10.451,25 and older
Lamine Camara,Senegal,M,22,250,10.994,Under 25
Tahith Chong,Curaçao,M,26,249,9.510,25 and older
Kwasi Sibo,Ghana,M,27,249,11.125,25 and older
